period,network,subnetwork,station,station_name,x,y,variable_id,variable_name
before_2007,0005,0011,F000245,Baix Francolí - 43148-0120,349751.76,4552346.55,F000245NPA,Nivell piezomètric (F000245NPA)
before_2007,0005,0011,F000245,Baix Francolí - 43148-0120,349751.76,4552346.55,F000245NPM,43148-0120_Tarragona_T-117_Nivell piezometric_Manual
before_2007,0005,0011,F000248,Baix Camp - 43123-0261,346077.68,4556332.44,F000248NPM,Nivell piezomètric (F000248)
before_2007,0005,0011,F000249,Baix Camp - 43123-0262,346227.13,4555753.57,F000249NPM,Nivell piezomètric (F000249NPM)
before_2007,0005,0011,F000250,Baix Francolí - 43148-0121,351893.88,4553236.35,F000250NPM,Nivell piezomètric (F000250NPM)
before_2007,0005,0011,F000252,Baix Camp - 43162-0062,324339.17,4541661.38,F000252NPM,Nivell piezomètric (F000252NPM)
before_2007,0005,0011,F000253,Baix Camp - 43092-0163,330856.86,4547679.96,F000253NPM,43092-0163_Mont-roig Camp_Sc_Nivell piezometric_Manual
before_2007,0005,0011,F000254,Baix Camp - 43171-0105,343525.92,4554459.09,F000254NPM,Nivell piezomètric
before_2007,0005,0011,F000255,Llaberia - Prades meridional - 43042-0022,340353.08,4560428.78,F000255NPM,Nivell piezomètric
before_2007,0005,0011,F000256,Baix Camp - 43123-0263,345101.96,4554222.23,F000256NPA,Nivell piezomètric (F000256NPA)
before_2007,0005,0011,F000256,Baix Camp - 43123-0263,345101.96,4554222.23,F000256NPM,Nivell piezomètric (F000256NPM)
before_2007,0005,0011,F000257,Baix Camp - 43123-0264,340768.32,4558461.89,F000257NPM,Nivell piezomètric
before_2007,0005,0011,F000258,Llaberia - Prades meridional - 43007-0125,337229.83,4561328.07,F000258NPM,Nivell piezomètric
before_2007,0005,0011,F000260,Fluviodeltaic del Fluvià - Muga - 17030-0030,496953.08,4685849.51,F000260NPM,Peralada_S13_Nivell Piezometric_REV0
before_2007,0005,0011,F000262,Detrític neogen de l'Empordà - 17132-0053,500648,4685230,F000262NPM,17132-0053_Peralada S-1_Nivell piezometric_Manual
before_2007,0005,0011,F000267,Fluviodeltaic del Fluvià - Muga - 17132-0063,500014.94,4684405.63,F000267NPM,Peralada_S12_Nivell Piezometric_Manual
before_2007,0005,0011,F000269,Fluviodeltaic del Fluvià - Muga - 17047-0064,506987.91,4674864.62,F000269NPM,Nivell piezomètric
before_2007,0005,0011,F000270,Fluviodeltaic del Fluvià - Muga - 17047-0066,507291.2,4673938.2,F000270NPM,Nivell piezomètric
before_2007,0005,0011,F000271,Fluviodeltaic del Fluvià - Muga - 17047-0061,507118.41,4674878.51,F000271NPM,Nivell piezomètric (F000271NPM)
before_2007,0005,0011,F000273,Fluviodeltaic del Fluvià - Muga - 17047-0065,507226.16,4674433.9,F000273NPM,Nivell piezomètric
before_2007,0005,0011,F000274,Fluviodeltaic del Fluvià - Muga - 17047-0067,507293.5,4673936.3,F000274NPM,17047-0067_Castello Empuries_Muga S-8_Nivell piezometric_Manual
before_2007,0005,0011,F000279,Fluviodeltaic del Baix Ter - 17057-0051,502343.8,4647981.81,F000279NPA,Nivell piezomètric (F000279NPA)
before_2007,0005,0011,F000279,Fluviodeltaic del Baix Ter - 17057-0051,502343.8,4647981.81,F000279NPM,S24_Angles_Rissec_Nivell Piezometric (F000279NPM)_REV0
before_2007,0005,0011,F000280,Paleògens del Baix Ter - 17211-0026,504123.77,4657034.51,F000280NPM,Nivell piezomètric
before_2007,0005,0011,F000281,Fluviodeltaic del Baix Ter - 17081-0042,508490.85,4653548.37,F000281NPM,Nivell piezomètric
before_2007,0005,0011,F000282,Fluviodeltaic del Baix Ter - 17081-0043,510649.35,4652673.95,F000282NPM,Nivell piezomètric
before_2007,0005,0011,F000284,Fluviodeltaic del Baix Ter - 17191-0033,505708.95,4654360.89,F000284NPM,17191-0033_Serra Daro_Ter S-1'_Nivell piezometric_Manual
before_2007,0005,0011,F000286,Fluviodeltaic del Baix Ter - 17191-0035,506097.24,4653107.79,F000286NPM,Nivell piezomètric
before_2007,0005,0011,F000287,Fluviodeltaic del Baix Ter - 17199-0054,511266.16,4653871.15,F000287NPM,Nivell piezomètric
before_2007,0005,0011,F000288,Fluviodeltaic del Baix Ter - 17204-0012,507501,4654648,F000288NPM,Nivell piezomètric
before_2007,0005,0011,F000289,Fluviodeltaic del Baix Ter - 17197-0015,512080.09,4645094.43,F000289NPM,Nivell piezomètric (F000289NPM)
before_2007,0005,0011,F000291,Fluviodeltaic del Baix Ter - 17081-0046,510375.54,4652099.75,F000291NPA,Nivell piezomètric (F000291NPA)
before_2007,0005,0011,F000292,Fluviodeltaic del Baix Ter - 17195-0054,506239,4654589,F000292NPM,Nivell piezomètric
before_2007,0005,0011,F000293,Fluviodeltaic del Baix Ter - 17195-0055,506319.18,4658290.79,F000293NPM,S17c_Nivell Piezometric_Ter (F000293NPM)_REV0
before_2007,0005,0011,F000295,Fluviodeltaic del Baix Ter - 17199-0056,513630.05,4652294.83,F000295NPM,Nivell piezomètric (F000295NPM)
before_2007,0005,0011,F000298,Fluviodeltaic del Baix Ter - 17081-0047,510931.04,4651350.05,F000298NPM,Nivell piezomètric
before_2007,0005,0011,F000299,Fluviodeltaic del Baix Ter - 17068-0057,502112,4655976,F000299NPM,S7b_Nivell Piezometric_Ter_REV0
before_2007,0005,0011,F000300,Fluviodeltaic del Baix Ter - 17068-0059,502121,4655981,F000300NPM,S9b_Nivell Piezometric_Ter_REV0
before_2007,0005,0011,F000301,Fluviodeltaic del Baix Ter - 17068-0060,502233.46,4656266.62,F000301NPM,S3b_Nivell Piezometric_Ter_REV0
